fid,id,left,top,right,bottom,row_index,col_index,X,elv_cls,KG_cl_1,KG_cl_2,KG_cl_3,KG_c_1_,lnd_cv_,lnd_c__,bm_clss,bm_shr_,IPCC_r_,_count,_sum,layer,path,IPCC_r__count
20,777749,90,53,90.25,52.75,148,1080,164049,400-800,D,Dw,Dwc,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ESB,450,12,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,603
21,633812,40,37.25,40.25,37,211,880,122001,400-800,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WCA,705,110,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,1021
22,285498,-81,-4.25,-80.75,-4.5,377,396,36322,100-400,B,BS,BSh,Arid,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NWS,44,28,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,146
23,592291,25.5,-22.5,25.75,-22.75,450,822,103035,800-1500,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,ESAF,28,7,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,67
24,1007821,169.75,-45,170,-45.25,540,1399,220810,400-800,C,Cf,Cfb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NZ,,,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,21
25,633780,40,45.25,40.25,45,179,880,122024,0-100,C,Cf,Cfa,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EEU,1863,179,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,2093
26,850802,115.25,-30.25,115.5,-30.5,481,1181,189046,100-400,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SAU,440,16,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,634
27,216199,-105,40.5,-104.75,40.25,198,300,20340,800-1500,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,CNA,1713,58,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,2047
28,185269,-115.75,33,-115.5,32.75,228,257,12634,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,NCA,81,36,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,179
29,570733,18,-33,18.25,-33.25,492,792,92264,0-100,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WSAF,32,19,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,51
30,847913,114.25,-28,114.5,-28.25,472,1177,187987,100-400,B,BS,BSh,Arid,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,CAU,25,17,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,25
31,259423,-90,34.5,-89.75,34.25,222,360,31406,0-100,C,Cf,Cfa,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ENA,993,1,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,1504
32,734590,75,42.75,75.25,42.5,189,1020,150441,1500-3000,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ECA,45,3,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,76
33,311366,-72,8.75,-71.75,8.5,325,432,43277,0-100,A,Af,Af,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NSA,5,2,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,15
34,308675,-73,-38.5,-72.75,-38.75,514,428,41985,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SWS,36,34,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,80
35,170055,-121,56.5,-120.75,56.25,134,236,9606,400-800,D,Df,Dfb,Continental,Croplands,Croplands,Boreal Forests/Taiga,B. Forests,NWN,489,115,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,502
36,336764,-63.25,-40.75,-63,-41,523,467,53741,0-100,B,BS,BSk,Arid,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,SSA,1,0,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,3
37,507048,-4,48.25,-3.75,48,167,704,73696,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,WCE,3885,63,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,5271
38,691357,60,51,60.25,50.75,156,960,139277,100-400,D,Df,Dfa,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WSB,1353,112,C1a negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a negative.gpkg|layername=C1a negative,2135
39,469741,-17,15,-16.75,14.75,300,652,68228,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAH,20,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,22
40,602309,29,-7,29.25,-7.25,388,836,108263,1500-3000,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,SEAF,66,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,154
41,328793,-66,-28,-65.75,-28.25,472,456,50896,1500-3000,B,BS,BSk,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SES,973,2,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,1729
42,734640,75,30.25,75.25,30,239,1020,150392,100-400,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,TIB,180,1,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,285
43,606553,30.5,12,30.75,11.75,312,842,110416,400-800,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,NEAF,131,1,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,173
44,277471,-83.75,22.5,-83.5,22.25,270,385,34917,0-100,A,Am,Am,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,CAR,82,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,104
45,337400,-63,-19.75,-62.75,-20,439,468,54068,400-800,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAM,210,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,555
46,469742,-17,14.75,-16.75,14.5,301,652,68227,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,WAF,39,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,57
47,163624,-123.25,44.25,-123,44,183,227,8357,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WNA,160,1,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,165
48,892980,130,45.25,130.25,45,179,1240,202656,400-800,D,Dw,Dwb,Continental,Croplands,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,RFE,143,2,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,177
49,216160,-105,50.25,-104.75,50,159,300,20379,400-800,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NEN,243,1,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,254
50,713054,67.5,26.75,67.75,26.5,253,990,144390,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,SAS,2912,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,3119
51,811697,101.75,26,102,25.75,256,1127,175364,800-1500,C,Cw,Cwa,Temperate,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,EAS,1971,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,3547
52,940093,146.25,-33,146.5,-33.25,492,1305,214884,100-400,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EAU,27,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,107
53,374840,-50,-19.75,-49.75,-20,439,520,63648,400-800,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,NES,352,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,1185
54,492692,-9,37.25,-8.75,37,211,684,70615,0-100,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,MED,1131,7,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,2067
55,235733,-98.25,17,-98,16.75,292,327,25770,800-1500,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,SCA,58,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,148
56,490472,-9.75,52.25,-9.5,52,151,681,70270,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,NEU,278,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,651
57,790856,94.5,16.25,94.75,16,295,1098,167837,0-100,A,Am,Am,Tropical,Croplands,Croplands,Mangroves,Mangroves,SEA,591,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,882
58,777749,90,53,90.25,52.75,148,1080,164049,400-800,D,Dw,Dwc,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ESB,450,1,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,603
59,633812,40,37.25,40.25,37,211,880,122001,400-800,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WCA,705,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,1021
60,285498,-81,-4.25,-80.75,-4.5,377,396,36322,100-400,B,BS,BSh,Arid,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NWS,44,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,146
61,592291,25.5,-22.5,25.75,-22.75,450,822,103035,800-1500,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,ESAF,28,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,67
62,1007821,169.75,-45,170,-45.25,540,1399,220810,400-800,C,Cf,Cfb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NZ,,,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,21
63,633780,40,45.25,40.25,45,179,880,122024,0-100,C,Cf,Cfa,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EEU,1863,2,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,2093
64,850802,115.25,-30.25,115.5,-30.5,481,1181,189046,100-400,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SAU,440,1,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,634
65,216199,-105,40.5,-104.75,40.25,198,300,20340,800-1500,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,CNA,1713,1,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,2047
66,185269,-115.75,33,-115.5,32.75,228,257,12634,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,NCA,81,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,179
67,570733,18,-33,18.25,-33.25,492,792,92264,0-100,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WSAF,32,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,51
68,847913,114.25,-28,114.5,-28.25,472,1177,187987,100-400,B,BS,BSh,Arid,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,CAU,25,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,25
69,259423,-90,34.5,-89.75,34.25,222,360,31406,0-100,C,Cf,Cfa,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ENA,993,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,1504
70,734590,75,42.75,75.25,42.5,189,1020,150441,1500-3000,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ECA,45,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,76
71,311366,-72,8.75,-71.75,8.5,325,432,43277,0-100,A,Af,Af,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NSA,5,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,15
72,308675,-73,-38.5,-72.75,-38.75,514,428,41985,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SWS,36,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,80
73,170055,-121,56.5,-120.75,56.25,134,236,9606,400-800,D,Df,Dfb,Continental,Croplands,Croplands,Boreal Forests/Taiga,B. Forests,NWN,489,1,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,502
74,336764,-63.25,-40.75,-63,-41,523,467,53741,0-100,B,BS,BSk,Arid,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,SSA,1,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,3
75,507048,-4,48.25,-3.75,48,167,704,73696,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,WCE,3885,0,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,5271
76,691357,60,51,60.25,50.75,156,960,139277,100-400,D,Df,Dfa,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WSB,1353,3,C1a neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a neutral.gpkg|layername=C1a neutral,2135
77,469741,-17,15,-16.75,14.75,300,652,68228,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAH,20,14,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,22
78,602309,29,-7,29.25,-7.25,388,836,108263,1500-3000,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,SEAF,66,54,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,154
79,328793,-66,-28,-65.75,-28.25,472,456,50896,1500-3000,B,BS,BSk,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SES,973,682,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,1729
80,734640,75,30.25,75.25,30,239,1020,150392,100-400,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,TIB,180,158,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,285
81,606553,30.5,12,30.75,11.75,312,842,110416,400-800,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,NEAF,131,64,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,173
82,277471,-83.75,22.5,-83.5,22.25,270,385,34917,0-100,A,Am,Am,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,CAR,82,55,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,104
83,337400,-63,-19.75,-62.75,-20,439,468,54068,400-800,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAM,210,112,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,555
84,469742,-17,14.75,-16.75,14.5,301,652,68227,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,WAF,39,39,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,57
85,163624,-123.25,44.25,-123,44,183,227,8357,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WNA,160,87,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,165
86,892980,130,45.25,130.25,45,179,1240,202656,400-800,D,Dw,Dwb,Continental,Croplands,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,RFE,143,125,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,177
87,216160,-105,50.25,-104.75,50,159,300,20379,400-800,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NEN,243,231,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,254
